Data,Time,Resource_Name,Text,Comments_Count,Views,Count_Positive_Reactions,Reposts
2024-03-09,13:00,arkhangelsk__online,"В Поморье прошли соревнования по охотничьему биатлону

Два традиционных турнира по охотничьему биатлону состоялись в Поморье в минувшие выходные – в Приморском и Котласском округах. Как рассказало правительство региона, цель профессиональных состязаний в объединении охотников области и популяризации здорового образа жизни.

Кто-то из вас участвовал?",1,2715,5,1
2024-03-09,12:00,arkhangelsk__online,"Архангельская область вошла в десятку рейтинга расселения аварийных домов

В администрации Архангельска рассказали, что Поморье заняло 7 места среди всех регионов по площади расселенного аварийного жилья. 

Кто из вас переехал в новые дома?",3,3535,7,1
2024-03-09,10:00,arkhangelsk__online,"В культурном центре «Соломбала-Арт» открылась выставка «Весенний букет»

До 15 марта в КЦ «Соломбала-Арт» выставляются работы воспитанников изостудии «Художник». В своих рисунках дети передали всю радость от прихода весны, изобразив яркие букеты тюльпанов, подснежников и других цветов.",0,1920,4,0
2024-03-08,16:00,arkhangelsk__online,"🍾Названа цена праздничного букета и ванны из шампанского

Чтобы устроить своей подруге жизни настоящий праздник, среднестатистическому жителю Архангельска придется потратить почти 130 тысяч рублей. В праздничный комплект входят ванна шампанского, букет цветов и сет роллов на закуску. 

При среднем объеме ванны в 230 литров наполнить ее игристым среднего качества можно за 127 080 рублей. Еще 1045 рублей – стоимость нестыдного букета из пяти цветков. Оставшиеся 1500 рублей придется отдать за большую упаковку японской еды.

А что вам подарили на 8 марта?",0,2772,7,2
2024-03-08,15:00,arkhangelsk__online,"💕А вы готовы поработать 8 марта?

Как показал опрос портала SuperJob, восемь из десяти мужчин, проживающих в Архангельске, готовы выйти поработать в Международный женский день. При этом две трети хотели бы получить за этот трудовой подвиг дополнительную плату, а 4% опрошенных предпочли бы отгулы.

Что касается женщин, то среди них любителей работы по праздникам оказалось меньше – всего две трети от опрошенных. Зато удовлетвориться отгулами вместо доплат согласны уже 6% представительниц прекрасного пола.

Абсолютно не готовы встретить 8 марта на работе 16% мужчин и 28% женщин, проживающих в Поморье. 

А к какой из этих категорий вы относите себя?",1,2991,6,5
2024-03-08,12:00,arkhangelsk__online,"Кошатницам опасно дарить цветы

Ветеринар рассказала, какие букеты могут навредить домашним питомцам. Берите на заметку😉",0,3390,7,13
2024-03-08,11:00,arkhangelsk__online,"🍴В России стремительно растет производство грибов

Отечественные грибоводческие хозяйства похвастались позитивной статистикой – в прошлом году они вырастили 145,9 тыс. тонн грибов, то есть на 13% больше, чем годом ранее.

По оценке Минсельхода, грибоводство превращается в одно из самых популярных направлений работы российских аграриев. А самыми востребованными сортами грибов являются шампиньоны и вешенки – при некотором навыке их можно выращивать в обычном гараже или подвале.

Ну что, уходим в грибные фермеры? Есть свободный подвальчик на примете?",2,3100,11,3
2024-03-08,10:00,arkhangelsk__online,"🎉 Праздник уже совсем близко, а вы еще не приготовили открытку для своей любимой женщины, мамы или бабушки? Не волнуйтесь, мы спешим на помощь! 

В нашей подборке вы найдете самые нежные и красивые открытки, чтобы выразить свои искренние поздравления в этот особенный день. Сделайте приятный сюрприз вашим близким и подарите им кусочек тепла и радости. Выбирайте скорее! 💌",0,1994,10,3
2024-03-08,09:00,arkhangelsk__online,"Сегодня самый весенний праздник!

Поздравляем дорогих и с Международным женским днем. Ура!",9,24064,202,3
2024-03-07,20:00,arkhangelsk__online,"💉Станция переливания крови запустила акцию «Леди – Донор»

Необычный сюрприз прекрасной половине Архангельска приготовила региональная станция переливания крови. В честь Международного женского дня там 7 марта пройдет акция «Леди – Донор».

Чтобы привлечь внимание к донорству и поощрить тех, кто постоянно сдает кровь, все женщины после очередной процедуры забора крови получат небольшой подарок к женскому празднику.

Стоит отметить, что хотя эта акция носит всероссийский характер, Архангельск присоединился к ней впервые. И это при том, что почти каждый третий донор в регионе – женщина.

Кстати, а вы когда-нибудь сдавали кровь для других людей?",1,3824,7,0
2024-03-07,17:00,arkhangelsk__online,"⭐В торгово-экономическом колледже открыли «Парту героя» в честь погибшего в Чечне солдата

Торжественная линейка, посвященная открытию «Парты героя», прошла в Архангельском торгово-экономическом колледже. Выпускник этого учебного заведения, сотрудник отдела специального назначения «Сивуч» Дмитрий Кононов погиб в мае 2000 года в городе Гудермес Чеченской Республики.

Учащиеся колледжа, их педагоги и представители регионального УФСИН почтили минутой молчания память всех погибших за Отечество. Открыли «Парту Героя» директор колледжа Елена Комиссарова и замначальника регионального УФСИН Владимир Тропов.

Напомним, что 27-летний Дмитрий Кононов ценой своей жизни спас четырех товарищей. За это его наградили орденом Мужества (посмертно). О подвиге нашего земляка теперь всегда будет напоминать его мемориальная парта в последнем месте учебы солдата.",0,3456,19,1
2024-03-07,15:00,arkhangelsk__online,"🥴На форум «Женщины, меняющие мир» в Архангельск собрались мужчины

Столица Поморья в одночасье прославилась на всю страну благодаря смешной фотографии: на сцене женского форума собралось несколько представительных мужчин… и ни одной женщины.

Знаменитый снимок был сделан 2 марта на форуме «Женщины, меняющие мир», организованном городским Советом женщин.

Однако говорить о том, что женский форум захватили мужчины, было бы неправильным. По словам очевидцев, в зале были только женщины, да и среди выступающих их хватало – спикерами встречи были, например, депутат Госдумы Елена Вторыгина, председатель Облсобрания Екатерина Прокопьева и депутаты гордумы Ксения Корякина и Кристина Саблина.",3,4166,8,3
2024-03-07,14:00,arkhangelsk__online,"🤵👰Принц на белом коне заехал в комнату к возлюбленной на пятом этаже

33-летний Сергей из Кемеровской области хотел извиниться перед женой Екатериной и сделать ей подарок на 8 марта. Лучшее, что он придумал — приехать на коне.

Девушка сильно удивилась, когда увидела лошадь. Как и соседи, которые вызвали полицию. В итоге дама простила принца, но наорала.

Как вам такой поступок?",0,2754,13,9
2024-03-07,13:00,arkhangelsk__online,"Наш яркий цветочек Василисонька Прекрасная Бросили девоньку в деревянном расселенном доме, просто уехали и оставили. А она ходила за всеми и плакала, просилась,чтобы взяли ... Никто не брал долго....
И вот девонька попала в КотоЯсельки . Характер у Василисоньки очень спокойный. Она скромная,послушная, очень ласковая девочка, по первости стеснялась, но очень быстро привыкла к нам. Такая кисонька вряд ли будет драть обои или висеть на шторах. У Васеньки фирменный взгляд, забавная,очень симпатичная мося. Посмотрите,какая она яркая красавица, а если учесть ещё,что умница и скромница...
Приходите знакомиться с Василисой",8,2714,72,10
2024-03-07,12:00,arkhangelsk__online,"За 2023 год средняя длина рабочего дня в России выросла до 7,17 часа 

Причина – в дефиците кадров. При этом эксперты указывают на риски неоплачиваемых переработок. Больше всего работали:

• В сфере рыболовства и рыбоводства – 8,21 часов.
• Турагенты и работники обслуживания зданий – 7,61 часов.
• В сфере добычи металлических руд – 7,6 часов.
• Медики и соцработники – 7,47 часов.",1,1927,6,3
2024-03-07,10:00,arkhangelsk__online,"👪В Архангельске пройдет семейный праздник

10 марта на площади у архангельского драмтеатра состоится мероприятие «Всей семьей – на зимний пикник». Для гостей устроят шоу ростовых кукол, семейные старты, поролоновое шоу, анимационные танцы, лазерное шоу.

Помимо этого, запланирована работа различных площадок. С 15 до 18 часов горожане с детьми смогут проявить себя в различных активностях.

Кто пойдет – присылайте потом фотографии.",0,2394,5,9
2024-03-07,08:00,arkhangelsk__online,"Прием врача-флеболога 1200₽ и 800₽ для пенсионеров вместо 2.900₽
+ УЗИ вен ног в подарок!

Скидка 20% на лечение варикоза лазером

Для записи переходите по ссылке - https://clck.ru/35AVJi

Для лиц старше 18 лет
Есть противопоказания. Необходима консультация специалиста

За 30 минут, посвященных здоровью ваших вен, вы получите:

- Ультразвуковое обследование на аппарате высокого класса
- Осмотр практикующего сосудистого хирурга-флеболога
со стажем более 15 лет
- Составление развернутого плана лечения
- Подробный рассказ о методике лечения, подходящей именно вам
- Ответы на все ваши вопросы

Клиника «Варикоза Нет».
г.Архангельск, пр. Ломоносова, 53

Режим работы:
пн - сб с 8 до 20

Для записи переходите по ссылке - https://clck.ru/35AVJi",0,5445,9,7
2024-03-06,20:00,arkhangelsk__online,"🥮В Архангельске снимают шоу про еду

Недавно в город приехал известный ведущий и ресторатор Александр Белькович. Он сам 15 лет прожил в Северодвинске, но приехал в регион не просто погостить, а по работе.

В регионе начались съемки передачи «100 мест, где поесть». Александр побывает в Архангельске, Северодвинске и на острове Ягры. Кроме популярных заведений, ведущий посетит музей-заповедник деревянного зодчества «Малые Корелы», Центральный рынок, музей архангельского пряника и другие места.",1,20537,90,38
2024-03-06,18:00,arkhangelsk__online,"Пропал пес, кличка Жорик. Черный, грудка белая, одна лапка белая (как будто носок). Ушки большие, ошейник коричневый. Убежал с Лесной речки, видели в Катунино, через Лахту ушёл в Ново-Иласское, дальше ничего не знаю(
Может его кто приютил и не сидит в соц.сетях. Просьба, если увидите или знаете где он, позвоните пожалуйста 89115676029 Анна. Мы очень переживаем, надеемся, ищем и ждём.
ВОЗНАГРАЖДЕНИЕ 5000 РУБ.",13,12200,294,46
2024-03-06,17:00,arkhangelsk__online,"Кому молодого хаски, кастрированного бесплатно!
Готовым гулять с ним очень много и только на поводке.
Можно познакомиться, звоните, пишите мне
89265683135",3,3112,51,9
2024-03-06,14:00,arkhangelsk__online,"🌐Нейросеть следит за качеством уборки в Архангельске

В городе в тестовом режиме начали использовать программный комплекс для контроля за содержанием дорог. Систему установили в нескольких автобусах – видеокамеры фиксируют состояние дороги перед транспортным средством.

ИИ самостоятельно анализирует данные и выявляет несоответствие установленным критериям.",1,1579,1,0
2024-03-06,13:00,arkhangelsk__online,На Суворова в марте. ☀,0,15906,86,6
2024-03-06,12:00,arkhangelsk__online,"Метеозависимые, готовьтесь. В марте уже прошла одна магнитная буря – осталось еще четыре. Когда они будут, смотрите👇🏻

• 9–10 марта: самая сильная в месяце буря;
• 15–16 марта: буря средней интенсивности;
• 21–22 марта: слабая буря;
• 27–28 марта: магнитная буря средней силы.",1,3191,20,39
2024-03-06,11:00,arkhangelsk__online,"Группа Аквилон в Архангельске – обменяйте старую однушку на новую двушку с доплатой всего от 200 тыс. руб.! Выбирайте новостройки в разных районах города с ""умными"" системами и видеонаблюдением!",0,2536,1,2
2024-03-06,10:00,arkhangelsk__online,"🌷В России украли 1,5 тонны роз, тюльпанов и других цветов

У крупнейшего продавца перед 8 марта похитили товар на 1,8 млн рублей. Груз должен был доехать из Москвы до Челябинска, Омска и Новосибирска, но злоумышленники перепродали его дилеру в Екатеринбурге всего за 500 тысяч рублей.

Цветочных Гринчей ищет полиция.",0,1851,7,5
2024-03-05,20:00,arkhangelsk__online,"💄Археологи нашли тюбик помады, которому более 4000 лет

В Иране археологи нашли небольшой каменный контейнер в форме тюбика, в котором предположительно хранилась губная помада. Ученые изучили остатки ярко-красного вещества внутри находки и обнаружили, что пигмент на удивление похож по составу на современные помады. 

Помада состояла из гематита, кварца, клинохлора, браунита, манганита и галенита, а также растительных восков и масел, которые по сей день используют в губных помадах.",0,4499,7,2
2024-03-05,17:00,arkhangelsk__online,"❗Завтра в городе проверят систему оповещения населения

6 марта в Архангельске сирены зазвучат с сигналом «Внимание всем!» в период с 10.40 до 10.43. Также данный сигал можно будет услышать в это время по телевидению или радио.

Это плановая проверка, причин для беспокойства нет.",0,2910,9,9
2024-03-05,16:00,arkhangelsk__online,"Ау, хозяин! Где же ты...
Посмотри-ка, какой красивящий парень тебя заждался! 
Это Бумбараш. Недавно паренёк навел красоту и начал постигать азы домашней жизни - учиться гулять на поводке, делать все свои дела на улице и тд. Процесс идет! На улице паренёк собирает коллекции ❤❤ - многие умиляются этому обаятельному пушистику🥰
Сейчас Бумбарашу где-то 4 месяца и при хорошем уходе он обещает вырасти крупным, очень привлекательным и воспитанным собакеном.
Приглядитесь! Вдруг именно о нем вы мечтаете?

Если есть вопросы, звоните или пишите Сергею - расскажет, покажет, может даже доставить на дом (Архангельск и близлежащие населенные пункты).
Тел. для связи 89009170550",8,11886,250,24
2024-03-05,15:00,arkhangelsk__online,"🎤Поющий таксист из Архангельска засветился на ТНТ

Блогер Алексей Бессонов, более известный в Архангельске как поющий таксист Енот, стал участником шоу «Это нормально?», где отвечал на вопросы Ольги Бузовой. Водитель известен своими «душевными караоке-поездками». Его автомобиль оборудован двумя микрофонами, которыми он предлагает воспользоваться во время следования по маршруту. Ролики с дуэтами он выкладывает в социальные сети.

Кто-нибудь ездил с ним?😆",3,17583,140,49
2024-03-05,14:00,arkhangelsk__online,Проспект Ломоносова. ☀,5,9079,29,2
2024-03-05,13:00,arkhangelsk__online,"🤓12 редких слов в русском языке, о которых многие даже не подозревают!

Существуют слова, которые могут показаться неправильными или удивительными, но они все есть в словарях. Некоторые из них - разговорные, другие - диалектические. Среди таких слов: ""зряшный"", ""посюсторонний"", ""всегдашний"", ""надысь"", ""буза"", ""рыбарь"", ""тенёта"", ""росстань"", ""лапидарный"", ""лемниската"", ""мюзле"", ""амперсанд"". Некоторые из них встречаются в литературе, другие могут добавить загадочности вашей речи.

В комментариях напишите значение слов, которые вы знаете, а мы дополним!",1,2116,4,2
2024-03-05,12:00,arkhangelsk__online,"🚘Четыре ошибки водителей, из-за которых ржавеет их автомобиль

Как уберечь свой автомобиль от коррозии и какие ошибки владельцев приводят к тому, что машина буквально рассыпается, рассказал руководитель сервисного направления автомобильного маркетплейса Fresh Илья Иванский.

Основные ошибки, провоцирующие возникновение ржавчины – это неправильная или нерегулярная мойка автомобиля, особенно в сезон обилия реагентов на дорогах. Также вносят свою лепту непрофессиональные средства для антикора и ошибки при подготовке к этому процессу.

Также кузов автомобиля начинает «цвести» при несвоевременном ремонте повреждений лакокрасочного покрытия, возникших на кузове автомобиля, добавил эксперт.

А как вы боретесь с ржавчиной на своем железном коне?",1,2770,3,5
2024-03-05,10:00,arkhangelsk__online,"🇷🇺Архангельск – родина российского триколора. Почему бы и нет?

Бело-сине-красный флаг России имеет давнюю и запутанную историю. Одна из версий называет его родиной наш Архангельск.

Обычно считается, что первый триколор взвился в 1669 году над кораблем «Орел», построенном по указу царя Алексея Михайловича. Однако был ли этот флаг именно бело-сине-красным – большой вопрос, потому что на исторических гравюрах он показан с белой полосой посередине.

А вот поднятый в 1693 году на яхте «Святой Петр» «Флаг царя Московского» выглядит уже более привычно. Именно под этим знаменем царь Петр Алексеевич отправился из Архангельска в плавание по Белому морю. Сейчас этот флаг хранится в Центральном военно-морском музее Санкт-Петербурга.",0,1804,6,0
2024-03-05,09:00,arkhangelsk__online,Так и было задумано...!,0,2639,11,2
2024-03-04,20:00,arkhangelsk__online,"🥐Кулинарное шоу из Архангельской области показали на Первом канале

Выходящее на Первом канале шоу «Повара на колесах» показало серию про Архангельскую область. В съемках принимали участие местные жители, которые оценивали работу известных шеф-поваров.

Кулинары Эдуард Погосов и Антон Ивницкий известны работой с модными ресторанами Москвы и Санкт-Петербурга. В Архангельске они угощали прохожих собственноручно изготовленными блюдами прямо на Чумбаровке.

Заодно в выпуске «Поваров на колесах» поговорили об истории, показали строительство поморского коча и обсудили музей-заповедник «Малые Корелы».

А вы бы что выбрали сегодня на ужин – шаньги с калитками, или какое-нибудь бланманже из московского ресторана?",0,3303,13,4
2024-03-04,17:00,arkhangelsk__online,"😍Нарисованная нейросетью картинка попала на обложку Playboy

Мексиканская редакция популярного журнала для мужчин выбрала для обложки очередного номера модель Саманту Эверли. Это виртуальный персонаж, полностью сгенерированный искусственным интеллектом.

Никаких особых данных у вымышленной компьютером девушки нет – кружевное белье, чулки, перчатки и накладные кроличьи ушки давно стали стандартом для имиджа моделей Playboy.

Журнал опубликовал и интервью с Эверли (точнее – диалог с нейросетью), в котором искусственный разум от лица виртуальной модели признается, что фото на обложке Playboy Mexico – это большая честь.

Ну что, признавайтесь, кто-нибудь из вас хоть раз открывал Playboy? Обещаем родителям не говорить.",2,3131,5,5
2024-03-04,15:00,arkhangelsk__online,"СРОЧНО НУЖНА СПАСИТЕЛЬНАЯ ПЕРЕДЕРЖКА 🙏🏽🆘 ВРЕМЕНИ МАЛО,ИХ БОЛЬШЕ НЕ МОГУТ ДЕРЖАТЬ 🆘

Две девочки красавицы спасены с улицы,пролечегы в клинике,сейчас ищут добрые руки и учатся доверять людям. Но у них заканчивается передержка,очень нужна помощь.

Они будут в клетке,пелёнками и едой обеспечим.
Помогите пожалуйста 🙏🏽 МАКСИМАЛЬНЫЙ РЕПОСТ ❗❗❗",13,13975,314,47
2024-03-04,14:00,arkhangelsk__online,"🍽Семена чиа давно заслужили свою популярность среди любителей здорового питания и активного образа жизни. Они являются настоящим суперфудом благодаря своим многочисленным полезным свойствам. В чем их секрет?

1. Богатый источник питательных веществ: Семена чиа содержат огромное количество питательных элементов, включая белки, клетчатку, жирные кислоты Омега-3, антиоксиданты, витамины и минералы. Это ли не вау?

2. Великолепный источник растительных белков: Для вегетарианцев и веганов семена чиа представляют ценный источник растительных белков, который помогает поддерживать здоровые мышцы.

3. Помощь в контроле веса: Благодаря своей способности впитывать в себя воду и увеличивать свой размер, семена чиа могут помочь вам почувствовать себя более долго насыщенными.

4. Семена чиа известны своим способом давать энергию и улучшать физическую выносливость благодаря содержанию сложных углеводов, белков и жирных кислот. 

5. Улучшение пищеварения и общего здоровья: Семена чиа содержат большое количество клетчатки, которая помогает улучшить пищеварение, поддержать здоровье кишечника и уменьшить риск развития различных заболеваний. 

Ну как, уже побежали в супермаркет? 😆",1,2021,3,0
2024-03-04,12:00,arkhangelsk__online,"🎬✨Любители кино и мультфильмов, у нас особенный пост! Сегодня мы хотим поделиться с вами интересными и забавными цитатами.

А у вас есть такая цитата или фраза, которая заставляет вас улыбнуться или задуматься? Расскажите нам в комментариях. 💬",0,1875,8,0
2024-03-04,10:00,arkhangelsk__online,"☀С добрым утром! 
Срочно выбираем какой вы котик из нашей видео-подборки!",1,2716,6,1
2024-03-03,20:00,arkhangelsk__online,"😳В США хотят лечить глобальное потепление обезвоживанием атмосферы?

Новый способ борьбы с так называемым глобальным потеплением придумали американские ученые. Они собираются осушить верхние слои атмосферы, удерживающие тепло у нашей общей планеты.

По мысли специалистов NASA, чтобы сделать климат Земли более холодным, нужно распылить в тропосфере некие «зародыши ледяных кристаллов». Они вызовут конденсацию имеющегося там водяного пара, осушат воздух на большой высоте и таким образом снизят теплоизолирующие свойства атмосферы.

Похоже, американцев совсем не интересуют последствия их проектов для других стран – если жители США в конечном итоге сэкономят на кондиционерах, то население более северных стран рискует просто вымерзнуть.",2,3261,6,1
2024-03-03,17:00,arkhangelsk__online,"Плохой почерк у ребенка может говорить о болезни

Неумение аккуратно писать может быть сигналом о проблемах со здоровьем ребенка, предупреждает невролог-эпилептолог, кандидат медицинских наук Наталья Коньшина.

По словам специалиста, причиной плохого почерка могут быть переживания, эмоциональное напряжение или тремор рук. Последний считается симптомом нарушения работы щитовидной железы, поражения ядер головного мозга и других серьезных недугов. 

Невролог добавила, что на почерк может повлиять постоянное использование гаджетов и устройств, использующих сенсорный ввод данных, особенно если ребенок пользуется ими с раннего детства.",1,3846,5,2
2024-03-03,16:00,arkhangelsk__online,"💙🐾Тима🐾💙
Мальчишка - подросток, очень красивый и ласковый. 
Дружит с другими котиками и ходит в лоток. 
Забран малышом из расселенного дома, где были оставлены домашние кошки. 
Подарите парню дом🙏🏠

☎89115571125, Татьяна
https://vk.com/id32627878",1,3964,68,6
2024-03-03,15:00,arkhangelsk__online,"В Архангельске стартовали Абрамовские дни

Цикл мемориальных мероприятий в честь известного писателя Федора Абрамова, уроженца деревни Веркола Пинежского округа, начался в Поморье возложением цветов к его памятнику. 

С конца февраля по 14 мая Архангельская областная научная библиотека имени Н.А. Добролюбова приглашает на Абрамовские дни. Посетителей ждут лекции, литературные чтения, круглые столы и другие яркие мероприятия.

Также вскоре состоится объявление имен новых лауреатов Всероссийской литературной премии имени Федора Абрамова «Чистая книга». Она вручается раз в два года и уже завоевала признание российской литературной общественности.",0,2783,5,1
2024-03-03,12:00,arkhangelsk__online,"🍻Российские пивовары сварили напитки в стиле «Гарри Поттера»

Необычное пиво получило названия, навеянные книгой. Вкусы вышли тоже не самые привычные:

• «Экспеллиармус» – клубника и смородина
• «Снитч» – лайм-вишня
• «Мандрагора» – персик, гуава и ананас
• «Патронус» – банан, дыня и груша

Попробовали бы такое?",0,2134,2,3
2024-03-03,10:00,arkhangelsk__online,"💸 Архангельской области спишут миллиардные долги 

К 2030 году качество жизни в Поморье заметно вырастет, пообещал глава региона Александр Цыбульский после того, как президент России Владимир Путин пообещал списать регионам 2/3 долгов по бюджетным кредитам.

- Решение президента дает нам уверенность в том, что сможем не только сохранить объем инвестиций в экономику и социальную сферу, но и наращивать их, - заявил архангельский губернатор. 

По его словам, у областных властей есть четкие, понятные и обеспеченные финансами перспективы развития, чтобы до 2030 года сможем превратить Архангельскую область в территорию совершенно другого качества жизни людей.",0,2762,4,2
2024-03-11,00:02,arkhangelsk_life,"Спокойной ночи, Архангельск ❤",1,1717,38,1
2024-03-10,19:13,arkhangelsk_life,"‼️КРЫСЫ В ЦЕНТРЕ АРХАНГЕЛЬСКА!!!

Центр города, Воскресенская 81, крысы уже одолели. УК не реагирует, только обещаниями кормит. Крысы бегают у контейнеров, у дома, в подвале, в подьезде тоже были не раз замечены. Под капотом машин куча их какашек и шерсти. Просто крик души, уже не знаем что делать.",99,46231,125,171
2024-03-10,11:28,arkhangelsk_life,Вот такая козявка припарковалась у подъезда в Северодвинске 😆,218,125731,1703,1122
2024-03-10,07:37,arkhangelsk_life,"Полярная лисица, песец:)

Новая Земля, Архангельская область.",27,58651,1274,139
2024-03-10,06:25,arkhangelsk_life,"Доброе утро, Архангельск🌞
Погода на сегодня -9 -2, ☁, ветер северо-западный 2 м/с.",86,25634,192,13
2024-03-09,23:57,arkhangelsk_life,"Кому не спится, чем занимаетесь?",44,71167,29,1
2024-03-09,22:46,arkhangelsk_life,Северное сияние над Соловецким монастырем,2,27708,546,33
2024-03-09,21:35,arkhangelsk_life,"С 1 марта открывается запись на бесплатный онлайн-урок программирования для всех детей нашего города от 5 лет. Успейте записаться и получить бесплатный урок !

Наша миссия - показать школьникам азы программирования и определить насколько им нравятся IT специальности. После занятия поделимся с вами, насколько у вашего ребенка есть к этому способности.

Чтобы записаться на бесплатное занятие - просто переходите по ссылке и мы подберем удобное Вам время.
https://vk.com/app6013442_-205832274?form_id=774#form_id=774 

Переходите по ссылке, ждем вас на бесплатном занятии! Мы сделаем так, что у ребенка будут гореть глаза от программирования!",0,33272,18,10
2024-03-09,20:23,arkhangelsk_life,Оцените работу😍👍🏻,124,122589,5792,35
